Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q2,1544660151.250422,673185,0,0
7,Q19,1544660151.823662,10125993,0,0
3,Q13,1544660161.849268,176455,0,0
3,Q13,1544660161.925856,154417,0,0
7,Q19,1544660161.980555,10108724,0,0
8,Q22,1544660171.988864,116216,0,0
4,Q16,1544660172.005253,986289,0,0
2,Q11,1544660172.891662,107630,0,0
5,Q17,1544660172.899318,10108503,0,0
6,Q18,1544660182.908644,837545,0,0
8,Q22,1544660183.646029,105906,0,0
1,Q2,1544660183.646029,620929,0,0
8,Q22,1544660184.167012,104015,0,0
1,Q2,1544660184.170276,612304,0,0
8,Q22,1544660184.682432,103072,0,0
3,Q13,1544660184.685710,154951,0,0
8,Q22,1544660184.740366,103186,0,0
1,Q2,1544660184.743647,610977,0,0
1,Q2,1544660185.254283,609831,0,0
2,Q11,1544660185.763864,105474,0,0
6,Q18,1544660185.769337,785171,0,0
4,Q16,1544660186.454890,965172,0,0
6,Q18,1544660187.320622,798718,0,0
4,Q16,1544660188.019427,955458,0,0
2,Q11,1544660188.875046,109944,0,0
3,Q13,1544660188.884891,157550,0,0
5,Q17,1544660188.942867,10108382,0,0
2,Q11,1544660198.950671,105737,0,0
2,Q11,1544660198.956270,106871,0,0
4,Q16,1544660198.963002,950147,0,0
3,Q13,1544660199.813250,166274,0,0
4,Q16,1544660199.879425,902285,0,0
4,Q16,1544660200.680987,973962,0,0
3,Q13,1544660201.554526,165794,0,0
1,Q2,1544660201.619599,604481,0,0
4,Q16,1544660202.123226,1106683,0,0
