Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
7,Q2,1544588118.914467,741536,0,0
12,Q11,1544588119.555793,104070,0,0
9,Q4,1544588119.560219,209344,0,0
23,Q22,1544588119.670371,103415,0,0
15,Q14,1544588119.673704,537278,0,0
11,Q9,1544588120.111065,7322887,0,0
23,Q22,1544588127.333819,103117,0,0
7,Q2,1544588127.337278,704582,0,0
15,Q14,1544588127.942168,543270,0,0
8,Q3,1544588128.385741,10145858,0,0
19,Q18,1544588138.431626,951924,0,0
22,Q21,1544588139.283656,10249787,0,0
8,Q3,1544588149.433979,10109257,0,0
6,Q1,1544588159.443414,278800,0,0
6,Q1,1544588159.621842,281796,0,0
6,Q1,1544588159.803224,274606,0,0
7,Q2,1544588159.978735,705171,0,0
21,Q20,1544588160.584636,10123837,0,0
13,Q12,1544588170.608270,586665,0,0
2,Payment,1544588170.611694,12433275,0,0
19,Q18,1544588171.094645,924100,0,0
8,Q3,1544588171.918611,10107780,0,0
17,Q16,1544588181.926301,1124857,0,0
1,NewOrder,1544588182.945072,10646145,0,0
22,Q21,1544588182.950662,10117028,0,0
12,Q11,1544588192.967204,104196,0,0
7,Q2,1544588192.970660,604677,0,0
23,Q22,1544588193.475552,102627,0,0
16,Q15,1544588193.479004,219542,0,0
2,Payment,1544588193.491660,109466,0,0
1,NewOrder,1544588193.502034,142635,0,0
2,Payment,1544588193.544693,105644,0,0
2,Payment,1544588193.550479,105612,0,0
1,NewOrder,1544588193.556246,120357,0,0
1,NewOrder,1544588193.576993,31910619,0,0
8,Q3,1544588193.598759,10107142,0,0
12,Q11,1544588203.605427,104838,0,0
8,Q3,1544588203.610021,10107952,0,0
20,Q19,1544588213.618566,10109477,0,0
17,Q16,1544588223.629083,968254,0,0
17,Q16,1544588224.497830,979890,0,0
23,Q22,1544588225.378113,110170,0,0
6,Q1,1544588225.388511,249072,0,0
11,Q9,1544588225.537502,5966681,0,0
9,Q4,1544588231.405027,208096,0,0
23,Q22,1544588231.513683,103784,0,0
23,Q22,1544588231.518333,101069,0,0
